DATE,BAMLH0A3HYCEY
2020-10-07,11.41
2020-10-08,11.36
2020-10-09,11.25
2020-10-12,11.26
2020-10-13,11.22
2020-10-14,11.14
2020-10-15,11.29
2020-10-16,11.21
2020-10-19,11.19
2020-10-20,11.18
2020-10-21,11.20
2020-10-22,11.17
2020-10-23,11.23
2020-10-26,11.38
2020-10-27,11.42
2020-10-28,11.68
2020-10-29,11.62
2020-10-30,11.65
2020-10-31,11.71
2020-11-02,11.64
2020-11-03,11.48
2020-11-04,11.07
2020-11-05,10.75
2020-11-06,10.83
2020-11-09,10.13
2020-11-10,10.28
2020-11-11,10.27
2020-11-12,10.42
2020-11-13,10.39
2020-11-16,10.17
2020-11-17,10.12
2020-11-18,10.04
2020-11-19,10.09
2020-11-20,10.06
2020-11-23,9.97
2020-11-24,9.76
2020-11-25,9.71
2020-11-26,9.71
2020-11-27,9.67
2020-11-30,9.56
2020-12-01,9.42
2020-12-02,9.30
2020-12-03,9.13
2020-12-04,9.01
2020-12-07,8.98
2020-12-08,8.97
2020-12-09,8.92
2020-12-10,8.95
2020-12-11,8.98
2020-12-14,8.84
2020-12-15,8.80
2020-12-16,8.78
2020-12-17,8.73
2020-12-18,8.75
2020-12-21,8.95
2020-12-22,8.84
2020-12-23,8.80
2020-12-24,8.77
2020-12-25,.
2020-12-28,8.47
2020-12-29,8.47
2020-12-30,8.42
2020-12-31,8.36
2021-01-01,.
2021-01-04,8.42
2021-01-05,8.45
2021-01-06,8.31
2021-01-07,8.34
2021-01-08,8.19
2021-01-11,8.29
2021-01-12,8.26
2021-01-13,8.17
2021-01-14,8.04
2021-01-15,7.97
2021-01-18,7.96
2021-01-19,7.88
2021-01-20,7.81
2021-01-21,7.71
2021-01-22,7.83
2021-01-25,7.81
2021-01-26,7.79
2021-01-27,7.90
2021-01-28,7.82
2021-01-29,7.89
2021-01-31,7.78
2021-02-01,7.72
2021-02-02,7.62
2021-02-03,7.52
2021-02-04,7.50
2021-02-05,7.33
2021-02-08,7.27
2021-02-09,7.24
2021-02-10,7.23
2021-02-11,7.20
2021-02-12,7.23
2021-02-15,7.20
2021-02-16,7.17
2021-02-17,7.17
2021-02-18,7.20
2021-02-19,7.17
2021-02-22,7.21
2021-02-23,7.22
2021-02-24,7.16
2021-02-25,7.27
2021-02-26,7.33
2021-02-28,7.64
2021-03-01,7.58
2021-03-02,7.55
2021-03-03,7.50
2021-03-04,7.56
2021-03-05,7.62
2021-03-08,7.58
2021-03-09,7.56
2021-03-10,7.55
2021-03-11,7.38
2021-03-12,7.47
2021-03-15,7.42
2021-03-16,7.34
2021-03-17,7.54
2021-03-18,7.66
2021-03-19,7.69
2021-03-22,7.49
2021-03-23,7.45
2021-03-24,7.36
2021-03-25,7.42
2021-03-26,7.41
2021-03-29,7.34
2021-03-30,7.40
2021-03-31,7.41
2021-04-01,7.32
2021-04-02,.
2021-04-05,7.23
2021-04-06,7.16
2021-04-07,7.14
2021-04-08,7.09
2021-04-09,7.18
2021-04-12,7.20
2021-04-13,7.24
2021-04-14,7.16
2021-04-15,7.13
2021-04-16,7.13
2021-04-19,7.16
2021-04-20,7.21
2021-04-21,7.24
2021-04-22,7.23
2021-04-23,7.19
2021-04-26,7.15
2021-04-27,7.18
2021-04-28,7.13
2021-04-29,7.10
2021-04-30,7.31
2021-05-03,7.20
2021-05-04,7.21
2021-05-05,7.15
2021-05-06,7.12
2021-05-07,7.11
2021-05-10,7.13
2021-05-11,7.26
2021-05-12,7.31
2021-05-13,7.31
2021-05-14,7.23
2021-05-17,7.22
2021-05-18,7.19
2021-05-19,7.33
2021-05-20,7.28
2021-05-21,7.26
2021-05-24,7.20
2021-05-25,7.13
2021-05-26,7.16
2021-05-27,7.12
2021-05-28,7.00
2021-05-31,7.15
2021-06-01,7.16
2021-06-02,7.12
2021-06-03,7.11
2021-06-04,7.05
2021-06-07,6.98
2021-06-08,6.91
2021-06-09,6.88
2021-06-10,6.83
2021-06-11,6.80
2021-06-14,6.77
2021-06-15,6.80
2021-06-16,6.82
2021-06-17,6.82
2021-06-18,6.85
2021-06-21,6.85
2021-06-22,6.82
2021-06-23,6.80
2021-06-24,6.74
2021-06-25,6.70
2021-06-28,6.68
2021-06-29,6.65
2021-06-30,6.64
2021-07-01,6.60
2021-07-02,6.58
2021-07-05,6.57
2021-07-06,6.54
2021-07-07,6.52
2021-07-08,6.61
2021-07-09,6.63
2021-07-12,6.58
2021-07-13,6.69
2021-07-14,6.69
2021-07-15,6.73
2021-07-16,6.78
2021-07-19,7.03
2021-07-20,6.96
2021-07-21,6.86
2021-07-22,6.86
2021-07-23,6.84
2021-07-26,6.80
2021-07-27,6.85
2021-07-28,6.94
2021-07-29,6.85
2021-07-30,6.88
2021-07-31,7.21
2021-08-02,7.13
2021-08-03,7.22
2021-08-04,7.30
2021-08-05,7.31
2021-08-06,7.34
2021-08-09,7.38
2021-08-10,7.37
2021-08-11,7.42
2021-08-12,7.39
