,public_date,roa,intcov_ratio,quick_ratio,intcov,bm,npm,debt_assets,debt_ebitda,inv_turn,cash_ratio
84594,2021-12-31,0.3666395462613937,42.77413262189421,1.7672413316050073,32.01670552154888,0.5042541844409942,0.158570818438563,0.4424929307792377,0.7104779336390507,4.740633241295039,0.7735857502055044
85218,2021-12-31,0.1413261681954353,1.8510378510378511,0.9547039307203509,1.0488400488400489,0.5768237185864892,0.00360311669594199,0.7651960877650628,3.1422858391608393,5.099856789480536,0.3278130799077771
85476,2021-12-31,0.07749994342739472,2.6142857142857143,0.7127080181543116,2.869047619047619,0.5967845276984878,0.1205559394916686,0.7364435585769963,5.618488670871292,16.72309899569584,0.1178517397881997
86242,2021-12-31,0.02103271753205287,,,,0.9144778904831117,0.2350079625758933,0.9029548967622844,5.8859593392630245,0.01202228521161177,
86640,2021-12-31,0.07852992347141834,1.7881205673758864,0.6531575058261808,1.9051418439716312,0.5592443047477897,0.09274230175311109,0.8331089718209482,7.020417028670721,26.535557506584723,0.2911953617916216
87129,2021-12-31,0.1343017390295493,3.2591388283089127,0.7578818650398397,2.8742989562748162,0.2638350274693269,0.1043331474365787,0.7446717135774095,4.604119745606127,18.738047032552114,0.1776051190853707
87753,2021-12-31,0.06194219034637384,1.6310919185687847,0.6461785865425307,0.7779148673658236,1.2315091048565785,-0.01787132644956315,0.7873543270515321,7.131622244159263,24.335640138408305,0.02767668218366483
88034,2021-12-31,0.06612548746827293,2.3757791629563667,0.4642920223726818,2.0365093499554763,0.6578611520685939,0.09553512803676953,0.6313376522718299,5.594057743957028,23.888544891640866,0.08881365911098028
88508,2021-12-31,0.02090212056274468,,,,0.619292539536844,0.3091420683796984,0.8931570367333392,3.4371272122812164,-0.08917513004706465,
89132,2021-12-31,0.125454273908498,16.25409836065574,0.993158549421108,12.680327868852459,0.2030884943599016,0.08705479870486896,0.7068425254077755,2.9231150793650795,4.792712949286066,0.3101617070136829
90288,2021-12-31,0.1169248902523952,,,,0.4135266152976467,0.07798328929515103,0.6162931948225587,3.2979960041169694,8.854065934065934,
90985,2021-12-31,0.1599221676169304,10.671824933861346,1.0276315335015491,8.712563879257933,0.2520956772379236,0.1261737554981015,0.6080884024067378,2.1359131502424074,5.161531441912424,0.1924278225743844
91914,2021-12-31,0.2014969876328535,44.988888888888894,1.2582148623937328,34.875,0.07920177677833591,0.2898395721925134,0.6784449422114232,0.500096808098689,,0.2162835356380622
92672,2021-12-31,0.05907630966884483,2.8017543859649123,1.3181575671349812,1.0736842105263158,0.8401347361694649,0.00737230121116377,0.6735840121802825,6.14501312335958,10.184873949579831,0.4812022052285257
93296,2021-12-31,0.1432917894100763,14.142101284958429,1.1318681318681318,15.72713529856387,0.3150013688775465,0.2828810778634377,0.5792223875074567,1.6877978324126006,2.6019280921264687,0.5943140134882612
94001,2021-12-31,0.2520122416933274,9.739240506329114,0.5615253928766458,3.3417721518987342,0.09673840388248185,0.1316413662239089,0.955179802600171,2.466316265400701,4.125712615114749,0.472726169528548
94231,2021-12-31,0.2001960179197005,7.014008620689655,1.91826382869434,6.043103448275862,0.5565249062629506,0.1288156120117806,0.49408810788106,1.2850487870985228,19.287082457369774,1.2623519214099972
94414,2021-12-31,0.1553688871524386,8.514376996805112,0.7535060412599588,6.686900958466453,0.09807370098496263,0.1061671078885252,0.8404650320054302,3.022195445655211,7.2160459719306,0.30394132854957
94665,2021-12-31,0.08032063197026022,3.0683930942895086,0.8184184255561894,2.635458167330677,1.0079317587684626,0.0832910621893071,0.7354095455120901,3.985825860572751,11.172534186790806,0.1563391329150028
96341,2021-12-31,0.194808893343687,16.06909088280787,,13.440305303785943,0.6203991269342164,0.1348803450096108,0.4336938058934138,1.1746794934673646,1.0275420086578384,
96965,2021-12-31,0.17225937626025,37.322105263157894,0.5277230467257512,30.770526315789475,0.1552989777647193,0.1833208016801058,0.6038359538189322,1.5401526605862557,5.865149078312507,0.3191914954188236
97390,2021-12-31,0.04008301866091266,16.20472440944882,,12.047244094488189,0.4342766204979159,0.1415741675075681,0.865844791649836,1.6998175182481752,0.8682153101974239,
98093,2021-12-31,0.1566822328470525,12.872093023255815,0.7570683777822339,15.356236786469344,0.0700584954427969,0.1940863749392631,0.7482525977423936,3.1103374777975135,5.65791187323638,0.22150925740258
99352,2021-12-31,0.1989152730710489,24.957279501723942,1.3131729945975323,18.726026026026027,0.103405374204901,0.08783266114699008,0.7236738353979172,2.1813069251758197,7.08509866755095,1.2359997209018383
99778,2021-12-31,-0.001004399268797332,-2.268835616438356,0.6215309949260975,-0.1335616438356164,0.6383415435139573,-0.07300397000441111,0.6873561369827214,-362.69,11.563728598604946,0.1473637767482903
100087,2021-12-31,0.1727544646415492,4.414241164241165,0.7797214983983669,3.389293139293139,0.02039349474155143,0.08603458601587063,0.979502583899143,3.722656629431763,5.245267761973022,0.2631491593500523
100177,2021-12-31,0.2861430562272072,72.43053915781188,0.6466773486382004,52.32310114128296,0.06413432770785452,0.1474289365232228,0.4592060759123445,0.6833971255957071,37.57746478873239,0.244458621863773
100833,2021-12-31,0.1681816909447837,8.642513529765484,0.5670371679562205,6.915213469633192,0.04760774685123933,0.1000137255799058,0.8511416348327748,3.089689408631719,5.837475073918724,0.04687779567006619
101136,2021-12-31,0.1024007288740415,7.270525694034259,0.3897708283599904,5.538688718251624,0.7239280276493456,0.09720553074675202,0.4967766983140006,2.8860697550269885,4.69004552725483,0.1173808387045436
101472,2021-12-31,0.2143341842504927,150.25641025641025,1.4393687707641196,120.87179487179488,0.1951127002129195,0.1383995973829894,0.4168811035828671,0.2318709482888588,6.229669485011529,0.725968992248062
102502,2021-12-31,0.07284380761289362,3.0544142143253747,0.5921990382964107,2.67129372570794,0.6065376594151731,0.1339981302586475,0.7362436665498231,5.872598807683816,5.514191690662279,0.1394255538382277
103053,2021-12-31,-0.03733355572234732,-5.704595185995624,1.8010670527359982,1.0021881838074398,0.3956646636826051,7.841907151819322e-05,0.7392862301147891,-9.51209977661951,25.903102885138814,1.6236628327837208
103571,2021-12-31,0.1845416508178014,19.45104895104895,2.006694487915145,15.085664335664339,0.3676785398329368,0.1761362394246114,0.4046114579770179,1.1955437381482399,2.7831257639324765,0.7671274560945922
104032,2021-12-31,0.02568340604473828,,,,0.7759081260519047,0.3424291064740503,0.9005637417114297,3.191389694401071,-0.04680272108843538,
104387,2021-12-31,0.07477959190972656,3.332608695652174,0.5389455828841893,1.9847826086956522,0.9078254888856536,0.06150295295635055,0.7633368771606198,5.006600344365793,23.19463087248322,0.02971190938688408
105230,2021-12-31,0.1239818266715089,12.51891315929675,0.6114512922465208,10.202450719232818,0.3938482155007533,0.1192919693914197,0.5312383137055816,1.5095050215208035,2.646299502509369,0.1545675944333996
105421,2021-12-31,0.09820738225118726,4.0430077301475755,0.7308878669269487,1.1623330990864371,1.17796952907761,0.006653340783538886,0.6657671779476966,3.775305096913137,25.838435771597727,0.1791403449286145
105825,2021-12-31,0.1409295128168709,9.60952380952381,1.3193557502119242,6.076190476190476,0.1425128970854804,0.1139840422340872,0.597546229392161,2.871949925737322,1.5465587044534412,0.5820853348403504
106145,2021-12-31,0.02300450172899559,,,,0.8179857727732603,0.2126962801242758,0.9190748467521763,2.330494699646643,,
107846,2021-12-31,0.1189585580635527,9.30608206787167,1.7687814263748993,7.819469526845586,0.2345343626839365,0.1574063334140439,0.510861676722724,2.9026113566526743,2.008560387932263,0.722208392719609
108457,2021-12-31,0.3434976893543379,53.436489288182436,2.9431020211828245,46.467910619672885,0.1423505402799395,0.2759114002332809,0.3662701574419364,0.3028278987259359,5.80728800707561,1.693569289381338
109256,2021-12-31,0.4757840616966581,45.19125683060109,4.34765625,40.994535519125684,0.06894488576509793,0.4161360018194223,0.4852291651582072,0.7603558821410561,2.708090957165521,3.4956341911764706
109561,2021-12-31,0.1103444291350096,2.9991016967363406,1.0746390368135301,2.207111743641862,0.04587193144614642,0.01224291901264466,0.9297241392649231,5.278784768673441,12.829157926638924,0.5485243742525353
