gicdesc,public_date,ticker,roa,intcov_ratio,quick_ratio,intcov,bm,npm,debt_assets,debt_ebitda,inv_turn,cash_ratio,long_term_credit_rating,rating,gsector_15.0,gsector_20.0,gsector_25.0,gsector_30.0,gsector_35.0,gsector_40.0,gsector_45.0,gsector_50.0,gsector_55.0
Information Technology,2017-02-28,MTSI,0.1306841677927902,2.5891465633894826,4.223079274745432,1.513788437310438,0.189782166061538,0.0189741451209341,0.5745486502675173,3.666074861694197,2.0167854091993904,2.6656368318321846,B+,0,0,0,0,0,0,0,1,0,0
Industrials,2017-02-28,HSC,0.1413316622466643,2.400741195822351,0.9113339284128668,-0.7110129015636456,0.0907225004127001,-0.0594918906329351,0.9130111180951394,2.5533352445742707,4.885381862754789,0.1679596405221122,BB-,0,0,1,0,0,0,0,0,0,0
Financials,2017-02-28,DFIN,0.1776788199276371,9.5327868852459,1.64247311827957,5.844262295081967,0.1483018041828851,0.0600915099135739,0.886505261007253,3.677944862155389,26.738660907127432,0.1946236559139785,BB-,0,0,0,0,0,0,1,0,0,0
Consumer Discretionary,2017-02-28,GPI,0.0944253535495546,3.210467521360062,0.2429340363944188,2.283480097396647,0.6543776719098904,0.0135075533551342,0.7915239304843695,6.512582945795623,5.48302821069128,0.0102244538426207,BB+,0,0,0,1,0,0,0,0,0,0
Materials,2017-02-28,FOE,0.1261159290906772,5.158340663919626,1.4314282578741362,3.0207879994444187,0.2285147586107229,0.0381099317903207,0.8013412070240051,3.6309252938945766,3.633793986510763,0.1852723481569096,BB-,0,1,0,0,0,0,0,0,0,0
Materials,2017-02-28,EXP,0.1876274617953147,13.531152408744177,1.396172830449682,11.296984590180722,0.2785091729457544,0.1697753587650429,0.4305202039388393,1.3638321063037588,3.426551879596825,0.4082558712260146,BBB,1,1,0,0,0,0,0,0,0,0
Health Care,2017-02-28,SCMP,0.2259701114073977,3.531837885610875,8.771413557540725,1.7780396447960944,0.3203053363989844,0.080358695274194,0.6791808021871898,2.629032695944906,1.2081853363727937,6.136471824673117,B,0,0,0,0,0,1,0,0,0,0
Industrials,2017-02-28,ROP,0.1060912514332495,9.51033085631818,1.103286440199492,6.9040059520074575,0.3742897237541593,0.1737883995065865,0.5958886910907121,4.779279313948996,6.556484320370071,0.5239152214946391,BBB,1,0,1,0,0,0,0,0,0,0
Materials,2017-02-28,VMC,0.1158486617893751,4.8510074605776285,2.126470809469058,3.984273441474029,0.3185157627831769,0.1175744927097335,0.4602503106011644,2.040910031279237,6.660738080148523,0.7200089188811639,BBB,1,1,0,0,0,0,0,0,0,0
Industrials,2017-02-28,BGC,0.0903510821315549,1.433519553072626,0.9222061924314726,-0.0480446927374301,0.2973753121417819,-0.024310595065312,0.924652034261242,4.412787964268924,4.214847715736041,0.1121962046387748,B,0,0,1,0,0,0,0,0,0,0
Information Technology,2017-02-28,HPE,0.0934084710063436,11.408536585365852,1.204695752518752,10.63719512195122,0.8437208210100177,0.0630648604433094,0.6044378066993813,2.1471331648263936,16.358006042296072,0.5764058408415073,BBB,1,0,0,0,0,0,0,1,0,0
Communication Services,2017-02-28,TDS,0.0951852885518703,0.3352601156069364,2.1510710259301016,1.2485549132947975,1.5952388449790595,0.0084280674245393,0.497035782341732,2.72271714922049,15.800945598954796,1.0180383314543404,BB,0,0,0,0,0,0,0,0,1,0
Industrials,2017-02-28,KSU,0.1306058221872541,8.304480651731161,0.6655024180548093,5.868635437881874,0.5940012441070892,0.2048239225430555,0.5004819960306209,2.2116912092815704,8.35593803786575,0.2291778613648576,BBB-,1,0,1,0,0,0,0,0,0,0
Consumer Discretionary,2017-02-28,TWX,0.1292156470026345,5.560518731988473,1.1772647634752138,3.820605187319885,0.3624876478036574,0.1335357118493758,0.6306278992208108,2.901991176821271,8.332896461336828,0.1586107389467175,BBB,1,0,0,1,0,0,0,0,0,0
Industrials,2017-02-28,CBPX,0.2094021709357563,6.4120676968359085,2.206056806674061,4.23944076526858,0.3574635079724266,0.0954191276076943,0.5131744988964142,1.9909557053802345,11.073262103633478,1.2426098278439506,BB-,0,0,1,0,0,0,0,0,0,0
Industrials,2017-02-28,AYI,0.2160758199552375,15.50595238095238,1.5273704995168678,10.05059523809524,0.1637987017914108,0.0892862385859831,0.4280562822597753,0.6049872122762148,6.221404682274247,0.5989581145233793,BBB,1,0,1,0,0,0,0,0,0,0
